Common name,Bayer designation,Hip,SSE,Wiki RA,Hip RA,Wiki dec,Hip dec,Wiki mag,Hip mag
Sirius,Canis Majoris α,32349,0.16644284156126965,101.0,101.28854105,-17.0,-16.71314306,-1.47,-1.44
Canopus,Carinae α,30438,0.10273449346405787,96.0,95.98787763,-53.0,-52.69571799,-0.72,-0.62
Arcturus,Bootis α,69673,0.04187535374664178,214.0,213.91811403,19.0,19.18726997,-0.04,-0.05
Rigil Kentaurus,Centauri α,71683,0.03351100250850288,220.0,219.92041034,-61.0,-60.83514707,-0.01,-0.01
Vega,Lyrae α,91262,0.10189869580070332,279.0,279.23410832,39.0,38.78299311,0.03,0.03
Rigel,Orionis β,24436,0.44680233384392326,78.0,78.63446353,-8.0,-8.20163919,0.12,0.18
Procyon,Canis Minoris α,37279,0.08520508720379465,115.0,114.82724194,5.0,5.22750767,0.34,0.4
Achernar,Eridani α,7588,0.2418050324069672,24.0,24.42813204,-57.0,-57.23666007,0.5,0.45
Betelgeuse,Orionis α,27989,0.22548075202458553,89.0,88.79287161,7.0,7.40703634,0.58,0.45
Hadar,Centauri β,68702,0.1411472169868002,211.0,210.95601898,-60.0,-60.3729784,0.6,0.61
Capella,Aurigae α,24608,0.42650736504386055,79.0,79.17206517,46.0,45.99902927,0.71,0.08
Altair,Aquilae α,97649,0.5000289575696765,297.0,297.6945086,9.0,8.86738491,0.77,0.76
Aldebaran,Tauri α,21421,0.2606568516192927,69.0,68.98000195,16.0,16.50976164,0.85,0.87
Spica,Virginis α,65474,0.11861401591620117,201.0,201.2983523,-11.0,-11.16124491,1.04,0.98
Antares,Scorpii α,80763,0.311344838887205,247.0,247.35194804,-26.0,-26.43194608,1.09,1.06
Pollux,Geminorum β,37826,0.11014323419601187,116.0,116.33068263,28.0,28.02631031,1.15,1.16
Fomalhaut,Piscis Austrini α,113368,0.3126644399503682,344.0,344.41177323,-30.0,-29.62183701,1.16,1.17
Deneb,Cygni α,102098,0.206731734454987,310.0,310.3579727,45.0,45.28033423,1.25,1.25
Regulus,Leonis α,49669,0.009933516266279563,152.0,152.09358075,12.0,11.96719513,1.35,1.36
Acrux,Crucis α,60718,0.8288947280095504,186.0,186.64975585,-63.0,-63.09905586,1.4,0.77
Adhara,Canis Majoris ε,33579,0.4317984013254162,104.0,104.65644451,-29.0,-28.97208931,1.51,1.5
Shaula,Scorpii λ,85927,0.1725235165790522,263.0,263.40219373,-37.0,-37.10374835,1.62,1.62
Gacrux,Crucis γ,61084,0.05779746333028346,188.0,187.79137202,-57.0,-57.11256922,1.63,1.59
Bellatrix,Orionis γ,25336,0.20228110863184903,81.0,81.28278416,6.0,6.34973451,1.64,1.64
Elnath,Tauri β,25428,0.48288684566901463,81.0,81.57290804,29.0,28.60787346,1.68,1.65
Miaplacidus,Carinae β,45238,0.17132479709983198,138.0,138.30100329,-70.0,-69.71747245,1.7,1.67
Alnilam,Orionis ε,26311,0.04372061094748027,84.0,84.05338572,-1.0,-1.20191725,1.7,1.69
Al Na'ir,Gruis α,109268,0.004994070035590765,332.0,332.05781838,-47.0,-46.96061593,1.74,1.73
Alioth,Ursae Majoris ε,62956,0.258462979622681,193.0,193.5068041,56.0,55.95984301,1.76,1.76
Kaus Australis,Sagittarii ε,90185,0.14965615542066954,276.0,276.04310967,-34.0,-34.3843146,1.8,1.79
Mirfak,Persei α,15863,0.026652963201527595,51.0,51.08061889,50.0,49.86124281,1.82,1.79
Alkaid,Ursae Majoris η,67301,0.11124404125373562,207.0,206.8856088,49.0,49.31330288,1.85,1.85
Dubhe,Ursae Majoris α,54061,0.07007734275077805,166.0,165.93265365,62.0,61.75111888,1.87,1.81
Peacock,Pavonis α,100751,0.24082799321993667,306.0,306.41187347,-57.0,-56.73488071,1.91,1.94
Atria,Trianguli Australis α,82273,0.028455369862158242,252.0,252.16610742,-69.0,-69.02763503,1.92,1.91
Hamal,Arietis α,9884,0.2571709360237095,32.0,31.79285757,23.0,23.46277743,2.0,2.01
Alphard,Hydrae α,46390,0.12723025374998262,142.0,141.8968826,-9.0,-8.65868335,2.0,1.99
Polaris,Ursae Minoris α,11767,9.397387726914467,41.0,37.94614689,89.0,89.26413805,2.01,1.97
Diphda,Ceti β,3419,0.010830748504440227,11.0,10.89678452,-18.0,-17.9866841,2.04,2.04
Nunki,Sagittarii σ,92855,0.12180667096730848,284.0,283.81631956,-26.0,-26.29659428,2.06,2.05
Alpheratz,Andromedae α,677,0.01766841846769124,2.0,2.09653333,29.0,29.09082805,2.06,2.07
Menkent,Centauri θ,68933,0.5877706822138142,211.0,211.67218608,-36.0,-36.36869575,2.06,2.06
Kochab,Ursae Minoris β,72607,0.1288296069271169,223.0,222.67664751,74.0,74.15547596,2.08,2.07
Rasalhague,Ophiuchi α,86032,0.26459410300899966,264.0,263.73335321,13.0,12.56057584,2.1,2.08
Denebola,Leonis β,57632,0.2537367759278499,177.0,177.26615977,15.0,14.57233687,2.14,2.14
Eltanin,Draconis γ,87833,0.2621478858838954,269.0,269.15157439,51.0,51.48895101,2.23,2.24
Suhail,Velorum λ,44816,0.18716443984887293,137.0,136.99907126,-43.0,-43.43262406,2.23,2.23
Alphecca,Corona Borealis α,76267,0.5327534344281685,233.0,233.67162293,27.0,26.71491041,2.24,2.22
Schedar,Cassiopeiae α,3179,0.304939710080097,10.0,10.12661349,56.0,56.53740928,2.25,2.24
Ankaa,Phoenicis α,2081,0.4192195503972448,6.0,6.57028075,-42.0,-42.30512197,2.37,2.4
Avior,Carinae ε,41037,0.6891650080130625,126.0,125.62860299,-59.0,-59.50953829,2.4,1.86
Enif,Pegasi ε,107315,0.018177660713456494,326.0,326.04641808,10.0,9.87500791,2.4,2.38
Sabik,Ophiuchi η,84012,0.42888682917594667,257.0,257.59442659,-16.0,-15.72514757,2.43,2.43
Markab,Pegasi α,113963,0.0783026388490122,346.0,346.1900702,15.0,15.20536786,2.49,2.49
Menkar,Ceti α,14135,0.33448716397223227,45.0,45.56991279,4.0,4.08992539,2.5,2.54
Gienah,Corvi γ,59803,0.3444551941090867,184.0,183.95194937,-17.0,-17.5419837,2.8,2.58
Acamar,Eridani θ,13847,0.5150330315039493,44.0,44.5654818,-40.0,-40.30473491,3.2,2.88
Zubenelgenubi,Librae α,72622,0.8008951585703684,222.0,222.71990536,-16.0,-16.04161047,3.28,2.75
